7:1102,12133,518,9080,302,5268,654,6732,18420,654
18:2060,12442,14554,2239,3517,2453,2617,227,690,754
19:3,4,6,8,10,11,13,14,15,17
36:2162,6450,654,1187,4420,4374,154,11039,9635,1187
37:5119,20195,5157,20195,5119,7132,5157,7672,5119,2698
41:1102,7358,1957,518,714,518,6281,84,9417,109
42:12442,30286,10474,2617,16676,2748,3261,5927,18420,5927
43:4534,2513,12750,1510,2424,14809,19197,3739,5699,14259
44:4834,10075,2750,12253,2789,12133,8056,18030,19421,954
45:1602,2878,2399,714,3972,670,1501,659,1749,5292
46:1102,5119,2714,13917,1187,4774,2696,4385,6230,2310
59:3017,9080,1102,5157,20195,5119,12133,1957,9080,13522
60:866,302,654,1102,1578,354,58,84,1332,103
69:7910,1102,6455,12634,5320,2813,2640,4354,5699,2083
70:866,1119,30286,1187,2698,650,1245,3522,2162,1057
94:7910,2696,5119,20195,3521,15337,2658,6455,12634,16036
106:10100,367,646,654,7989,15201,3261,866,302,5708
115:654,289,11459,23867,6535,13948,1759,1936,554,13620
116:9783,16286,7210,719,463,16404,6097,9417,6849,730
142:3389,6765,14174,15535,6249,9332,16286,11044,7672,18062
143:3,4,6,8,10,11,13,14,15,17
148:3516,10041,5119,17071,2379,7211,1749,7211,2204,14174
150:2030,3632,650,1245,10012,16217,954,14761,10141,518
156:12442,4368,8462,30286,302,654,2617,8150,542,1102
161:654,654,2698,616,4604,302,840,5111,302,654
171:654,616,302,84,861,354,162,289,1102,542
172:6477,1776,3867,654,302,4106,58,654,1046,8521
174:3,4,6,8,10,11,13,14,15,17
177:22980,9146,16107,6727,8462,2311,7317,11625,1471,4210
196:5767,10146,5119,11718,518,14174,4604,16404,5699,84
202:17071,9057,15201,7211,10713,289,15201,654,3261,8769
211:4021,6397,6243,9106,6582,3704,2955,2068,1825,4364
217:12442,4218,1845,2597,15507,24568,12442,7508,12442,2029
220:3,4,6,8,10,11,13,14,15,17
223:692,8016,12634,4292,3233,3313,1125,486,3383,2831
224:3,4,6,8,10,11,13,14,15,17
225:899,1187,13917,1187,4268,10039,2359,692,1262,2162
228:7446,9598,1677,285,6765,2254,5084,1196,8398,486
229:654,518,6862,15201,84,8056,6546,15914,1804,392
231:302,654,766,1413,58,84,636,548,616,1522
232:3,4,6,8,10,11,13,14,15,17
238:3618,16036,14955,13016,5122,4513,13016,2980,4513,14955
241:8056,14700,8150,654,289,5991,15507,24568,554,7508
245:3,4,6,8,10,11,13,14,15,17
249:2696,2403,1827,2714,4268,1524,3207,3506,654,4268
250:22980,1086,6230,11571,302,654,7166,4354,15705,5119
253:4568,1923,4755,1712,12990,11255,5738,4825,10041,2685
257:2696,2403,1827,3088,2714,12625,1524,9347,409,3207
272:654,616,1102,354,4210,650,5602,3194,542,861
273:1102,23581,10040,8056,518,9077,654,7578,5610,58
288:8746,788,654,6675,2979,1509,1277,6535,12634,4223
290:12750,3867,4664,9929,18291,6451,6733,10041,4174,5582
291:518,84,1102,101,616,289,787,1405,650,17
292:12861,289,9077,654,9594,58,1752,5998,554,302
294:1102,654,616,518,302,4268,6210,84,654,302
328:302,654,58,84,616,29,354,1102,138,301
331:654,58,8521,302,10686,23867,10146,5821,8665,7446
345:3,4,6,8,10,11,13,14,15,17
361:1102,654,518,302,654,1374,654,302,616,10012
376:654,861,302,9538,654,542,239,726,510,837
384:11044,654,12360,616,10217,6765,302,5699,11459,13227
401:1389,3017,2162,8579,5985,8151,6249,12155,6450,1044
402:3256,654,2030,616,654,12634,302,58,2588,302
410:4568,1923,7457,9417,3153,5023,2259,4755,3172,984
448:2696,2748,2403,1827,2714,1524,8016,4268,10071,3207
449:15337,5119,4873,5699,2658,5157,15861,5820,18756,6397
450:22980,4834,8056,7132,2831,1086,14700,4481,7231,2750
452:3,4,6,8,10,11,13,14,15,17
476:6759,10713,8115,1521,2097,5000,4907,1545,1790,10686
488:22980,1086,5929,10369,4368,518,11571,84,12634,7166
490:1102,654,616,518,518,4268,9077,12360,84,6548
494:1213,2029,2687,4181,530,7228,3383,4904,3313,18593
500:787,238,483,650,564,616,3448,394,546,1764
514:2582,9783,13567,5480,6906,3313,4071,719,463,13194
525:899,1187,16036,518,6315,84,692,2162,9417,13227
535:1102,654,654,616,518,302,654,861,84,654
536:2268,1951,17429,302,654,7446,12360,12625,4828,2655
538:9146,8130,22980,3261,5602,302,654,6598,10713,5407
539:6759,2790,3563,10040,1400,5480,3867,15201,10713,855
564:2293,654,8546,654,289,616,9311,4904,302,6943
582:654,12872,616,518,84,2361,302,486,4904,84
585:5320,12202,1786,1631,4354,6230,3915,654,1534,6210
590:1102,837,5929,654,518,654,302,616,654,6849
601:3,4,6,8,10,11,13,14,15,17
618:4904,3313,2172,2024,8150,4414,6836,2469,1804,4497
624:7006,1991,11535,2583,2433,3855,1987,1603,554,496
627:3,4,6,8,10,11,13,14,15,17
628:3,4,6,8,10,11,13,14,15,17
632:3,4,6,8,10,11,13,14,15,17
633:9311,3867,302,654,1046,6477,1624,1393,7317,7874
634:4907,1405,1014,12066,4499,2115,1287,1535,511,967
646:2060,1820,9347,1752,7409,2233,6455,2024,18062,692
666:13341,8867,19152,9127,10348,13049,9617,9950,13501,12861
667:2714,2696,6230,3207,5996,7910,2403,7802,1631,9080
669:3,4,6,8,10,11,13,14,15,17
678:1749,9185,5998,654,861,1403,1217,5767,5542,7166
680:2469,5699,3867,5575,616,13522,3313,1578,564,1544
681:2696,2403,2259,1827,2714,9531,14147,1524,5480,7711
682:9531,5488,14226,14226,5488,10267,5557,5480,11255,14226
683:3,4,6,8,10,11,13,14,15,17
684:14593,8860,1081,3969,1528,1400,5023,6772,3698,9783
715:2543,4671,8867,19152,8772,9435,2215,2293,12861,3034
716:1684,8665,17480,13988,2668,11861,4502,7841,5820,7624
741:5480,5488,14593,4792,9874,5488,8860,14593,12254,4877
750:4834,2831,2750,2789,12133,5929,7514,5610,2655,6759
754:2714,6759,2115,2696,2698,3292,3207,6849,10713,2403
756:837,654,616,654,302,58,6598,8056,13704,302
757:4041,7917,14003,7989,10511,4932,5689,8870,4444,4328
758:5991,15743,13065,4685,7514,285,13241,1196,486,162
763:654,9538,1866,944,13975,654,861,1102,616,1424
773:3313,3307,5849,3775,7166,9691,4833,3163,4798,2311
774:10012,654,8546,289,616,11459,2750,15201,7578,2698
775:1102,13917,2030,518,518,2359,84,654,1262,866
782:14955,10610,5119,3867,2484,16036,3506,7228,11039,8983
784:3017,12442,22689,654,5119,616,518,1213,5929,9311
793:1102,10075,714,518,8861,3448,12253,302,109,381
803:2162,899,1187,1187,4368,6450,10610,2162,6450,4299
813:2696,2403,2750,1827,2714,1524,4048,8881,4268,3163
815:3516,16286,11459,16404,16404,2204,302,654,15535,9215
817:1102,654,518,302,654,654,302,616,736,58
818:13194,12254,14593,4873,14226,11255,13567,10267,4792,13567
823:1936,1683,6793,2028,1744,2715,2085,7910,3842,1065
825:6765,1102,899,1086,1187,11044,13074,6552,15914,518
833:2696,8056,14700,2403,8150,1827,12360,2714,2640,4268
835:1086,518,84,486,6485,1804,999,490,7132,1403
838:3,4,6,8,10,11,13,14,15,17
844:1102,654,518,866,302,654,654,302,616,736
850:866,5791,654,8016,2024,3014,2976,5465,10310,787
856:7358,13917,13917,2750,5929,5119,2655,9146,654,4354
857:3017,654,616,5929,302,302,654,11044,3313,5182
874:7910,5119,899,6450,6455,1187,12634,6210,5320,5119
891:1102,3234,1832,947,1023,1535,2618,2139,899,2200
899:14955,5582,8873,4497,18449,18756,4856,4107,3618,3842
900:3,4,6,8,10,11,13,14,15,17
911:10048,6906,302,654,6906,8167,2717,58,84,2406
918:2698,5699,3476,2115,9080,654,967,7132,4068,354
925:967,3661,3326,2698,3989,5575,1206,889,8150,1039
926:714,654,13420,109,381,58,5602,302,654,861
937:4652,1187,22308,9057,8769,2976,2743,6450,4268,1845
949:3,4,6,8,10,11,13,14,15,17
964:1827,2403,3207,2696,2696,5119,2714,3506,2714,5157
970:14636,19197,2614,11941,5010,12442,2656,20330,2302,2950
977:5725,3017,1102,1776,6675,7257,17015,289,518,714
981:16036,13016,5122,4513,14955,4444,1340,2028,3086,12202
982:1187,2162,4420,2162,2935,6450,1119,3389,10511,1825
984:8973,7446,654,2030,13523,12360,409,6203,10970,10146
